ProductCLass	Product	Description	ProductCurrency	NegotiationLot	PriceLot	ISIN	Dt_Issue	Dt_Expiry	Index Rate	PctRate	Dt_CashMaturity	Liquidity	Rating	Dt_Com	Dt_CashFlow	Cash Flow Currency	Fixed Coupon	Coupon Time Basis	Coupon Rate Basis	Coupon Rate Frequency	Dt_StartCoupon	Dt_EndCoupon	Float Index	Is Fixing Period	Dt_Fixing	Dt_StartFloat	Dt_EndFloat	Principal Indexed Index	Dt_StartIndex	Dt_EndIndex	Principal Amortization Pct	Forward	PU Effective Payment	LinkedProduct	Base Price	Price Fixing Date	Float Fixing Date	Float Start	Float End Date	Float Spread	Float Rate Basis	Float Time Basis	Dt_StartAccrual	Dt_FirstPayment	Annual Payment Frequency
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/14/2021	12/15/2021	BRL	4.22	Bus252	Exponential	1	06/15/2021	12/15/2021						IPCA PRT	10/15/2019	12/15/2021	1.25		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/14/2021	06/15/2021	BRL	4.22	Bus252	Exponential	1	12/15/2020	06/15/2021						IPCA PRT	10/15/2019	06/15/2021	1.25		36.0981395733373												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/14/2020	12/15/2020	BRL	4.22	Bus252	Exponential	1	06/15/2020	12/15/2020						IPCA PRT	10/15/2019	12/15/2020			22.2667630150826												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/12/2020	06/15/2020	BRL	4.22	Bus252	Exponential	1	10/18/2019	06/15/2020						IPCA PRT	10/15/2019	06/15/2020			27.3596413811648												
ETF	EWZ	ISHARES MSCI BRAZIL	USD	1	1	US4642864007																																							
ETF	SPY	SPDR S&P 500 ETF TRUST	USD	1	1	US78462F1030																																							
ETF	MDY	SPDR SP MC 400	USD	1	1	US78467Y1073																																							
ETF	DXJ	WISDOMTREE JAPAN HEDGED	USD	1	1	US97717W8516																																							
ETF	VEA	VANGRD FTSE ET	USD	1	1	US9219438580																																							
ETF	HYLD LN	ISH GBL HY COR	USD	1	1	IE00B74DQ490																																							
ETF	IEMG	ISH CORE EM MK	USD	1	1	US46434G1031																																							
ETF	SPY5 LN	SPDR S&P 500	USD	1	1	IE00B6YX5C33																																							
ETF	TIP5 LN	ISHS TPS 0-5 U	USD	1	1	IE00BDQYWQ65																																							
ETF	EMLP	FT NA ENRG INF	USD	1	1	US33738D1019																																							
ETF	PRF	INVSC RAFI 100	USD	1	1	US46137V6130																																							
ETF	IJJ	ISH S&P MC400 	USD	1	1	US4642877058																																							
ETF	EWZS	ISHARES MSCI BRAZIL SMALL-CAP ETF	USD	1	1	US4642891315																																							
ETF	IAU	ISH GOLD	USD	1	1	US4642852044																																							
ETF	EMCA LN	ISH EMCA USD	USD	1	1	IE00BFM6TD65																																							
ETF	IUAA LN	ISH AG BD A	USD	1	1	IE00BYXYYM63																																							
ETF BR	MXRF11	FII MAXI REN CI	BRL	1	1	BRMXRFCTF008																																							
ETF BR	RBBV11	FII JHSF FBV CI ER	BRL	1	1	BRRBBVCTF004																																							
ETF BR	IMAB11	IT NOW ID ETF IMA-B FUNDO DE ÍNDICE	BRL	1	1	BRIMABCTF004																																							
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						05/03/2021	05/05/2021	USD							USD LIBOR 1M												447.6312	05/03/2021	04/01/2021	04/05/2021	05/05/2021	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						06/01/2021	06/03/2021	USD							USD LIBOR 1M												488.349329	06/01/2021	05/04/2021	05/05/2021	06/03/2021	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						07/01/2021	07/06/2021	USD							USD LIBOR 1M												548.722	07/01/2021	06/02/2021	06/03/2021	07/06/2021	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						08/02/2021	08/04/2021	USD							USD LIBOR 1M													08/02/2021	07/02/2021	07/06/2021	08/04/2021	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						09/01/2021	09/03/2021	USD							USD LIBOR 1M													09/01/2021	08/03/2021	08/04/2021	09/03/2021	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						10/01/2021	10/05/2021	USD							USD LIBOR 1M													10/01/2021	09/02/2021	09/03/2021	10/05/2021	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						11/01/2021	11/03/2021	USD							USD LIBOR 1M													11/01/2021	10/04/2021	10/05/2021	11/03/2021	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						12/01/2021	12/03/2021	USD							USD LIBOR 1M													12/01/2021	11/02/2021	11/03/2021	12/03/2021	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						01/03/2022	01/05/2022	USD							USD LIBOR 1M													01/03/2022	12/02/2022	12/05/2022	01/05/2022	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						02/01/2022	02/03/2022	USD							USD LIBOR 1M													02/01/2022	01/04/2022	01/05/2022	02/03/2022	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						03/01/2022	03/03/2022	USD							USD LIBOR 1M													03/01/2022	02/02/2022	02/03/2022	03/03/2022	0.005	Linear	Act360			
ETF Total Return Swap	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	SWAP NDUEBRAF 05APR2021 05APR2022 447.6312	USD		1			04/05/2022						04/01/2022	04/05/2022	USD							USD LIBOR 1M													04/01/2022	03/02/2022	03/03/2022	04/05/2022	0.005	Linear	Act360			
EUR Equity	PAH3 GR	PORSCHE AUTOMOBIL HOLDING SE	EUR	1	1	DE000PAH0038																																							
Funds BR	BEM FDI REF DI TPF	BEM FDI REF DI TPF	BRL	1	1																																								
Funds BR	CSHG VERDE AM GLOBAL EQUITIES FIA IE	CSHG VERDE AM GLOBAL EQUITIES FIA IE	BRL	1	1																																								
Funds BR	DYNAMO GLOBAL FIC FIA	DYNAMO GLOBAL FIC FIA	BRL	1	1																																								
Funds BR	CSHG ALL VERDE AM PRIVATE FIC FIM	CSHG ALL VERDE AM PRIVATE FIC FIM	BRL	1	1																																								
Funds BR	FOUNDRY FIM CP IE	FOUNDRY FIM CP IE	BRL	1	1																																								
Funds BR	SQUADRA LONG BIASED FI COTAS	SQUADRA LONG BIASED FI COTAS	BRL	1	1																																								
Funds BR	PAIVA FIA IE	PAIVA FIA IE	BRL	1	1																																								
Funds BR	CSHG ALL VERDE 90 FIC FIM	CSHG ALL VERDE 90 FIC FIM	BRL	1	1																																								
Funds BR	VINCI CREDITO ESTRUTURADO FIC FIM CP	VINCI CREDITO ESTRUTURADO FIC FIM CP	BRL	1	1																																								
Funds BR	VERDE AM ICATU PREV FICFIM PREVIDENCIARIO	VERDE AM ICATU PREV FICFIM PREVIDENCIARIO	BRL	1	1																																								
Funds BR	SPX Nimitz BP FIC FIM	SPX Nimitz BP FIC FIM	BRL	1	1																																								
Funds BR	NORONHA FIC FIM CP IE	NORONHA FIC FIM CP IE	BRL	1	1																																								
Funds BR	SUL AMÉRICA INFLATIE FI RF LP	SUL AMÉRICA INFLATIE FI RF LP	BRL	1	1																																								
Funds BR	LCI BVA (Bloqueado)	LCI BVA (Bloqueado)	BRL	1	1																																								
Funds BR	BRADESCO CONTA VIP - IGPM +6,00%	BRADESCO CONTA VIP - IGPM +6,00%	BRL	1	1																																								
Funds BR	AZ QUEST LUCE FIC	AZ QUEST LUCE FIC	BRL	1	1																																								
Funds BR	ASTELLA JOURNEY III FIP	ASTELLA JOURNEY III FIP	BRL	1	1																																								
Funds BR	MINT EDUCAÇÃO II FIC FIA	MINT EDUCAÇÃO II FIC FIA	BRL	1	1																																								
Funds EUR	FOCUS GENERATION-J	FOCUS GENERATION-J	EUR	1	1	FOFGENJ LX  																																							
Funds US	MONEDA LATIN AMERICAN CORP	MONEDA LATIN AMERICAN CORP	USD	1	1	KYG620101223																																							
